"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"Global",2014,5,4,4,6,6,6,6,6,6,4.7505201988867,0.636268435443238,0.0174702892192215,5.07294818975303,0.296177931788253,0.00339133661775118
"Global",2015,1,4,4,2,2,2,2,2,2,5.02316072372443,3.3739736768148,0.274965729884207,5.19462209768716,3.20871528891831,0.246885724631469
"Global",2015,2,4,4,3,3,3,3,3,3,5.19002111755052,3.1720245507429,0.243438752103904,4.9813940848301,3.3093651405753,0.271199944502834
"Global",2015,3,4,4,4,4,4,4,4,4,5.22672535056599,2.95225871113508,0.218675211848281,4.93296788773096,3.51298876979458,0.295407860871375
"Global",2015,4,4,4,5,5,5,5,5,5,5.37588102461528,3.03366196244087,0.21838996327568,4.84390739880993,3.56322176241093,0.306997997658913
"Global",2015,5,4,4,6,6,6,6,6,6,5.11600099278939,3.12215465722666,0.242959555983196,4.89522343207993,3.79379458705065,0.325991243617605
"Global",2016,1,4,4,2,2,2,2,2,2,4.78126105680873,1.81170131283258,0.118577029539129,5.06410124017748,1.98604570704074,0.125498619701893
"Global",2016,2,4,4,3,3,3,3,3,3,4.82914895693038,1.60627424631286,0.0951144694285502,4.90259941651659,1.89521412025449,0.122563203772138
"Global",2016,3,4,4,4,4,4,4,4,4,5.01828394581206,1.76487695655016,0.104630664238003,4.85830951019375,1.96563943164793,0.132038443163971
"Global",2016,4,4,4,5,5,5,5,5,5,4.74382356985372,2.0117770964867,0.142410450074599,4.88934432830434,2.1173329648116,0.147217432574443
"Global",2016,5,4,4,5,5.75,6,6,6,6,4.58815809347288,2.22226234168325,0.174985100330772,4.83570929721055,2.19018751874773,0.157929393775097
"Global",2017,1,4,4,2,2,2,2,2,2,4.11085777735369,1.99670950356648,0.175729642233089,4.29416312507449,1.75078728970443,0.133690905362616
"Global",2017,2,4,4,3,3,3,3,3,3,4.14747544727818,2.32498555653894,0.216378064221766,4.56686604836654,1.81615885880112,0.128389751256367
"Global",2017,3,4,4,4,4,4,4,4,4,3.68839694136483,2.58054240743479,0.289148985802147,4.57364048510274,1.599960200998,0.103688900657675
"Global",2017,4,4,4,4,4.75,5,5,5,5,3.45293949475674,2.77347796286667,0.339229309357927,4.55996946217358,1.63030485565659,0.107586963837198
"Global",2017,5,4,4,4,5.5,6,6,6,6,3.34104112519879,2.86753687231299,0.364136888664755,4.56636071899155,1.78084398289408,0.124351134303709
"Global",2018,1,4,4,2,2,2,2,2,2,3.82655098545392,1.20689854086666,0.0867316203157882,3.67695587778451,0.929404553062235,0.0583536804417173
