"Region","Risk_Type","Year","Risk_Score","best_horizon","future_shocks","past_shocks","z_risk","z_future","z_past","predictive_capacity_component","past_component","anticipatory_skill_component","predictive_capacity_component_roll3","anticipatory_skill_component_roll3"
"LMC","Diseases",2014,2.849246231,5,0.780722357512188,1.08743471224912,-0.324533553911401,-0.823480535002756,0.323246450845088,0.267247064601307,-0.104904319482004,0.37215138408331,-0.198661973444446,-0.0847910833751045
"LMC","Diseases",2015,3.331707317,5,1.23614373272763,0.734250788612653,0.875555965927189,-0.349500108130896,-0.711142191859193,-0.306006904766203,-0.622644788704854,0.31663788393865,0.00732891555145647,0.36759750862209
"LMC","Diseases",2016,3.100694444,5,1.76591961818233,0.576247454354234,0.300926973289422,0.201864878230248,-1.17389500570058,0.0607465868192662,-0.353256671025045,0.414003257844311,0.0345814965412208,0.57749283205215
"LMC","Diseases",2017,3.214162349,5,2.14698648315852,0.594836081914048,0.583170759534476,0.598460745612824,-1.11945349818983,0.3490048075706,-0.652832546802889,1.00183735437349,0.178134462773657,0.565500094739118
"LMC","Diseases",2018,3.035741371,5,2.43139248482367,0.594836081914048,0.139360570421831,0.894456685659333,-1.11945349818983,0.124651993931105,-0.156007678068449,0.280659671999555,0.253442602579701,0.565019987280736
"LMC","Diseases",2019,3.067729084,5,2.83011854598168,0.780722357512188,0.218927856258652,1.30943138592061,-0.575038423082314,0.286671006237396,-0.125891929231767,0.412562935469163,-0.0557109475809489,0.120965994893851
"LMC","Diseases",2020,2.848249027,5,3.27159845052727,1.23614373272763,-0.327014031828207,1.76890220788823,0.7587785109311,-0.578455842911349,-0.248131220124182,-0.330324622787166,1.18744747606239,-0.246510250720957
"LMC","Diseases",2021,3.793357934,5,3.40171884344596,1.76591961818233,2.02388084303182,1.90432518699448,2.31036147498752,3.85412726486112,4.67589632970599,-0.821769064844868,NA,NA
"LMC","Economic",2006,2.25,5,2.99067437358852,4.24132002072554,-2.08090701417127,1.14908866334551,2.34191459451791,-2.39114665946037,-4.87330650632239,2.48215984686203,NA,NA
"LMC","Economic",2007,2.509720422,5,2.80035873163289,3.86068873681427,-1.60530477885309,0.720258926072625,1.64208952892024,-1.15623509603598,-2.63605416808028,1.47981907204431,-1.19879734240488,1.371154604085
"LMC","Economic",2008,3.294520548,5,2.61004308967725,3.61599719715703,-0.168172144733187,0.291429188799737,1.19220198675031,-0.0490102717183045,-0.200495165066966,0.151484893348662,-0.408282647135753,0.189261373086012
"LMC","Economic",2009,4.105868471,5,2.47410334542323,3.39849360635059,1.3175750399821,-0.0148777663951817,0.792301949265932,-0.0196025736529759,1.04391727248196,-1.06351984613493,-0.0343933802760901,-0.658152843742594
