"term","real_est","std.error","statistic","p.value","Risk_Type","Lag","N","mean_sim","sd_sim","q025","q975","z","signif","sig.two"
"Risk_Score",-1.2438749300757,0.69377757126839,-1.79290161802378,0.110747660076554,"Food",-2,10,0.023309829914247,0.712801451359544,-1.26894473004281,1.37645362125793,-1.77775277754137,FALSE,"NONE"
"Risk_Score",-0.850151960017203,0.648103895866006,-1.31175258386808,0.230984531199828,"Food",-1,9,0.0133167324490849,0.65898055393554,-1.23683398337676,1.29107974267141,-1.31030982220873,FALSE,"NONE"
"Risk_Score",-0.442231533795843,0.728442622410079,-0.607091787590221,0.566039643778024,"Food",1,8,0.016845320164561,0.73602059023954,-1.32738708508833,1.45035032910833,-0.623728276149171,FALSE,"NONE"
"Risk_Score",-0.972353375386571,0.554824221992312,-1.75254312418978,0.130231691935219,"Food",2,8,0.0348360711743952,0.812304717363631,-1.42543257427698,1.54558892576114,-1.23991579148997,FALSE,"NONE"
"Risk_Score",-0.880667481945829,0.39114932698895,-2.25148663484907,0.0653076312387294,"Food",3,8,0.0257515196004152,0.506629836326755,-0.869544611188836,1.06146262111676,-1.78911492484948,TRUE,"SIM"
"Risk_Score",-0.935145576241922,0.434193909309448,-2.1537510227382,0.0747184310663415,"Food",4,8,0.0239248212587504,0.430363314347647,-0.766068414345168,0.884577946992302,-2.2285133642361,TRUE,"SIM"
"Risk_Score",-0.674997044137325,0.279809199798705,-2.41234757335684,0.0524061139095334,"Food",5,8,0.0202026293548092,0.306845313445455,-0.559359383713685,0.65234270019123,-2.26563562495379,TRUE,"SIM"
"Risk_Score",0.299934561450603,0.202431946893321,1.48165626055389,0.160586884590198,"Economic",-5,16,0.369637895789597,0.0367469749642503,0.296738574654468,0.44008349834947,-1.89684550651599,FALSE,"NONE"
"Risk_Score",-0.0507185518637779,0.30603239481424,-0.165729356509999,0.87073940639978,"Economic",-4,16,0.000280724371616358,0.0795753426754893,-0.156866113055396,0.155507269457673,-0.640892951518548,FALSE,"NONE"
"Risk_Score",0.0191609939133773,0.289369715153035,0.0662163070632455,0.948141922163877,"Economic",-3,16,-0.000193365064722439,0.102384745797577,-0.202522134668168,0.203992290910696,0.189035571923623,FALSE,"NONE"
"Risk_Score",0.225880607671826,0.431631979077871,0.523317591422194,0.608937349749686,"Economic",-2,16,-0.00322166479384185,0.426834735721377,-0.790432033096653,0.795091881361204,0.53674702008137,FALSE,"NONE"
"Risk_Score",0.238632370681282,0.365464164113779,0.652956962989644,0.525163865238014,"Economic",-1,15,-0.00529575401043843,0.39349710956106,-0.759974855132356,0.724249477780488,0.619898135881655,FALSE,"NONE"
"Risk_Score",-0.122919272427533,0.376960199279168,-0.326080240467248,0.749979941496831,"Economic",1,14,0.00720806191867431,0.401666137537483,-0.749143794542299,0.778505561125668,-0.323968894027229,FALSE,"NONE"
"Risk_Score",-0.353678311766897,0.439492421805511,-0.804742685468672,0.436622467881561,"Economic",2,14,0.00552537171936125,0.437489138392345,-0.800395750600075,0.830137110865349,-0.821057374832744,FALSE,"NONE"
"Risk_Score",-0.273741362664364,0.31757729327432,-0.861967679874105,0.405601276713161,"Economic",3,14,-0.000366723441312451,0.101604012326699,-0.197065466733086,0.197394630450837,-2.69058901280433,TRUE,"SIM"
