"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p"
"HIC",2012,5,8,8,2,5.5,6,6,6,6,-0.7825128895467,2.05605375677118,0.716617740915259,-0.570341065575715,1.65887070080165,0.742715328400736
"HIC",2013,1,8,8,1,1.875,2,2,2,2,0.792171177557053,2.27890437901318,0.740002239511383,1.13265904333441,2.21716798698471,0.627696848236795
"HIC",2013,2,8,8,1,2.75,3,3,3,3,0.96887268819059,2.34961967388545,0.6944089157169,0.458849183854262,1.98000047464854,0.824439794831937
"HIC",2013,3,8,8,1,3.625,4,4,4,4,0.488300599858826,2.29021052846465,0.838221507655004,0.405546190646987,2.06038324985211,0.850458256909734
"HIC",2013,4,8,8,1,4.5,5,5,5,5,0.577713111536093,2.31448124297482,0.811216349072089,0.266826562527645,1.92272282395614,0.894168316905318
"HIC",2013,5,8,8,1,5.375,6,6,6,6,0.772539623158795,2.33710441668274,0.7522189584568,0.297590530461529,1.95282282368977,0.883874754379049
"HIC",2014,1,7,8,2,2,2,1,1.875,2,1.93997784690668,1.68548235840579,0.301786271626053,2.57809435057992,1.35914381342499,0.106634273213209
"HIC",2014,2,7,8,3,3,3,2,2.875,3,2.05348913779704,1.50718924074877,0.231211853787637,2.7383399615459,1.26784557943785,0.0740935156531819
"HIC",2014,3,7,8,4,4,4,3,3.875,4,2.20871168303932,1.48185111089509,0.196281360734019,2.53697286290894,1.10654938825788,0.061716080983888
"HIC",2014,4,7,8,5,5,5,4,4.875,5,2.29274493248511,1.4927054456718,0.185144461550357,2.68003302840571,1.08583439292625,0.048577552414434
"HIC",2014,5,7,8,6,6,6,5,5.875,6,2.37345268630636,1.4861698601014,0.171149555854935,2.38889229806399,1.06124346656114,0.0653485089790107
"HIC",2015,1,7,7,2,2,2,2,2,2,2.88078319617396,1.57194039370748,0.126339720368494,2.83051774015225,1.83446272982682,0.183484446111379
"HIC",2015,2,7,8,3,3,3,1,2.75,3,3.35801719256125,1.43455289937844,0.0663132632510438,3.22784430574692,1.56674581270933,0.0850303102243851
"HIC",2015,3,7,8,4,4,4,2,3.75,4,3.67512762808001,1.35434644907015,0.0420959776837358,3.18637421808932,1.54915751965504,0.0854289045860976
"HIC",2015,4,7,8,5,5,5,3,4.75,5,3.90843190736684,1.26783868975096,0.0273838837304883,2.9719413689819,1.36430167852672,0.0722243695573163
"HIC",2015,5,7,8,5,5.85714285714286,6,4,5.75,6,3.83530794128555,1.18569668126217,0.0230862501748342,3.01307686744563,1.3478309000217,0.0667588712468013
"HIC",2016,1,7,7,2,2,2,2,2,2,3.3846132578533,1.2771967670946,0.0454246520753478,2.73053725522683,1.40634325350886,0.109847371653038
"HIC",2016,2,7,7,3,3,3,3,3,3,3.5653375973,1.19742444920327,0.0308885997690256,2.76767313635435,1.44366270518312,0.113346631561855
"HIC",2016,3,7,8,4,4,4,1,3.625,4,3.66129890427823,1.17741184391306,0.0265623333171685,3.07263927406708,1.34015381987037,0.0617107599944765
"HIC",2016,4,7,8,4,4.85714285714286,5,2,4.625,5,3.35813343792906,1.23054740018196,0.0413306665262259,3.11284456497357,1.32014586985383,0.0564415373225933
"HIC",2016,5,7,8,4,5.57142857142857,6,3,5.625,6,3.25265872001351,1.32686490219375,0.0578377034151691,2.9810654678003,1.17315950459922,0.0440181027145018
"HIC",2017,1,7,7,2,2,2,2,2,2,3.19140697603103,1.2180818370951,0.0470962434616332,3.23517858057374,0.959311243542593,0.0198378004406911
"HIC",2017,2,7,7,3,3,3,3,3,3,3.13471328831478,1.26822570646107,0.0564102461897585,2.87506494906031,1.06288102712153,0.0425306364332657
"HIC",2017,3,7,7,3,3.85714285714286,4,4,4,4,2.86257130755348,1.26261857277944,0.0726958925207386,2.87207356222035,1.08582391918483,0.0456968979967492
"HIC",2017,4,7,8,3,4.57142857142857,5,1,4.5,5,2.73491518964177,1.3606123598194,0.100638351612417,3.05989433364868,0.973115691438968,0.0199553066031205
