"Region","Year","horizon","n_future","n_past","future_window_years_min","future_window_years_mean","future_window_years_max","past_window_years_min","past_window_years_mean","past_window_years_max","predictive_capacity","predictive_capacity_se","predictive_capacity_p","past_at_horizon","past_at_horizon_se","past_at_horizon_p","best_horizon","past_at_best_horizon","anticipatory_skill"
"UMC",2006,3,6,6,4,4,4,4,4,4,-6.02084521363678,2.99841030263078,0.115059514976111,-7.47256678548361,3.07103841448271,0.0717297946667696,3,-7.47256678548361,1.45172157184682
"UMC",2007,1,8,8,2,2,2,2,2,2,-0.329838571836685,0.923603314113154,0.733225618499629,-0.367315275094132,0.922588259250156,0.704310300614968,1,-0.367315275094132,0.0374767032574469
"UMC",2008,1,8,8,2,2,2,2,2,2,0.035127020567042,1.00146285617699,0.97315717392006,0.27473060811776,1.18631538292486,0.824557653730494,1,0.27473060811776,-0.239603587550718
"UMC",2009,1,7,7,2,2,2,2,2,2,-0.358666459073312,1.04201433859011,0.74469598381789,-0.106650056308215,0.955950891187931,0.915509060129929,1,-0.106650056308215,-0.252016402765097
"UMC",2010,5,7,7,4,5.75,6,6,6,6,-0.143387205838101,1.02781558582942,0.894494964440278,0.190678238024895,0.992540467494805,0.855213674330992,5,0.190678238024895,-0.334065443862996
"UMC",2011,3,8,8,3,3.875,4,4,4,4,4.64165404933314,3.1177827210586,0.187121540488006,3.28380876101939,3.02101779052209,0.31876909722098,3,3.28380876101939,1.35784528831375
"UMC",2012,5,8,8,2,5.5,6,6,6,6,-0.550199227447259,2.66103520328291,0.84303439033364,-1.87328421165758,2.50094856941599,0.482160920213141,5,-1.87328421165758,1.32308498421033
"UMC",2013,3,8,8,1,3.625,4,4,4,4,2.72123583620538,2.60887562814206,0.337108994022531,0.692039731315632,3.05079372170163,0.828079790414801,3,0.692039731315632,2.02919610488975
"UMC",2014,1,7,8,2,2,2,1,1.875,2,4.8595272323007,0.860011674653377,0.00241072541006299,5.01689210618242,0.917073644654072,0.00155712172329272,1,5.01689210618242,-0.157364873881727
"UMC",2015,5,7,8,5,5.85714285714286,6,4,5.75,6,4.41980622122999,1.62662206441352,0.0419162077712034,4.49467460910198,1.8477887362853,0.0509915071033459,5,4.49467460910198,-0.0748683878719847
"UMC",2016,5,7,8,4,5.57142857142857,6,3,5.625,6,4.38615457954663,1.5386457661823,0.0357960576986969,4.67544587953803,1.42338239298986,0.0167231953216099,5,4.67544587953803,-0.289291299991399
"UMC",2017,2,7,7,3,3,3,3,3,3,3.54312660178824,1.33493777913629,0.0452003598317241,3.70173963476683,1.29127317875354,0.0351284508339395,2,3.70173963476683,-0.158613032978589
"UMC",2018,5,7,8,2,4.85714285714286,6,1,5.375,6,3.20423892385862,1.3179089147444,0.0592852259679584,3.21727931689458,0.607370492121303,0.0018349727463114,5,3.21727931689458,-0.0130403930359657
"UMC",2019,3,7,7,1,3.28571428571429,4,4,4,4,4.16554442249613,1.32571677393872,0.025605487407768,3.18184927406168,0.737240865568798,0.00760012427808506,3,3.18184927406168,0.983695148434443
"UMC",2020,2,6,7,1,2.66666666666667,3,2,2.85714285714286,3,3.52831848052338,1.30695421317607,0.0541139593493972,2.93415605371892,0.875072964705526,0.0202613457262333,2,2.93415605371892,0.594162426804457
"UMC",2021,1,5,6,2,2,2,1,1.83333333333333,2,3.29133636918605,2.61550265057071,0.297273472873946,3.84996293530436,2.35873075757497,0.177969991499426,1,3.84996293530436,-0.558626566118304
"LMC",2006,5,6,6,6,6,6,6,6,6,-6.80134939645031,2.8839523684884,0.0778034243527882,-7.56024253018885,2.82993623409048,0.0557175449401591,5,-7.56024253018885,0.758893133738545
"LMC",2007,1,8,8,2,2,2,2,2,2,-0.0213665189947072,1.00790809906029,0.98377440850077,0.084017818144868,1.07007894654171,0.939971007834689,1,0.084017818144868,-0.105384337139575
"LMC",2008,2,8,8,3,3,3,3,3,3,0.928543043004036,1.09361212366199,0.428417408553503,1.04207938709672,1.21333939399648,0.423400564341387,2,1.04207938709672,-0.113536344092686
"LMC",2009,1,7,7,2,2,2,2,2,2,0.914153182491147,1.0173073833905,0.410048719606913,0.832513475584466,0.961280484366767,0.426060539180655,1,0.832513475584466,0.0816397069066817
"LMC",2010,1,7,7,2,2,2,2,2,2,0.731134361716649,0.861913503264835,0.435006133080917,1.10762592382773,0.82721321733755,0.238222199623991,1,1.10762592382773,-0.376491562111086
"LMC",2011,4,8,8,3,4.75,5,5,5,5,3.30757919776367,2.40349407203373,0.217928524182832,1.85846539305893,3.55069945790216,0.619450213275784,4,1.85846539305893,1.44911380470474
"LMC",2012,5,8,8,2,5.5,6,6,6,6,0.263696087487754,2.0899556385611,0.903716772142516,-0.202012983542965,2.57697012778459,0.940065483027233,5,-0.202012983542965,0.465709071030719
"LMC",2013,2,8,8,1,2.75,3,3,3,3,2.79086786138347,2.04078718196902,0.220464958623848,1.76818898175226,2.19525569372593,0.451286227797431,2,1.76818898175226,1.02267887963121
"LMC",2014,1,7,8,2,2,2,1,1.875,2,4.0175599107356,0.800215099490907,0.0040330496152769,3.36039610900004,0.871497149325916,0.00840230280385293,1,3.36039610900004,0.657163801735567
"LMC",2015,4,7,8,5,5,5,3,4.75,5,3.22890255281615,1.52450708812622,0.0877279034280887,2.55744377925258,1.69294841533862,0.181625742978012,4,2.55744377925258,0.671458773563566
"LMC",2016,3,7,8,4,4,4,1,3.625,4,3.40385807829861,1.05358722353014,0.0231869368835064,3.42480691222673,1.19116731154639,0.0282355341502816,3,3.42480691222673,-0.0209488339281245
"LMC",2017,2,7,7,3,3,3,3,3,3,2.70854323989565,1.09564292156338,0.0563844632589298,2.90250191525616,1.13860991415872,0.0513182960988734,2,2.90250191525616,-0.19395867536051
"LMC",2018,1,7,7,2,2,2,2,2,2,2.69467398610874,0.624459333729421,0.00760499768351738,1.96306871086072,0.821096418422052,0.0623267819208936,1,1.96306871086072,0.731605275248018
"LMC",2019,1,7,7,1,1.85714285714286,2,2,2,2,2.96674269264463,0.991342199664355,0.030354567383505,3.01820026584321,0.424813949467502,0.000856105054738377,1,3.01820026584321,-0.0514575731985825
"LMC",2020,1,6,7,1,1.83333333333333,2,1,1.85714285714286,2,1.86238996011005,1.40004522984547,0.25421638116814,2.57954033043686,0.947493973150145,0.0416513013635631,1,2.57954033043686,-0.717150370326807
"LMC",2021,2,5,7,2,2.8,3,1,2.57142857142857,3,2.19036061004169,1.33339090528868,0.198987542364711,3.19609026788295,1.36691065576343,0.0665301780363518,2,3.19609026788295,-1.00572965784126
"LIC",2006,5,6,6,6,6,6,6,6,6,-6.44496333797652,1.61412697395747,0.0162263908174939,-6.80834322769083,2.8088390264575,0.0724569448367953,5,-6.80834322769083,0.363379889714314
"LIC",2007,5,8,8,6,6,6,6,6,6,0.122782598295343,0.669916966540403,0.86061471729132,-0.189555828223412,0.912245574844372,0.84226615100311,5,-0.189555828223412,0.312338426518755
