"Region","Risk_Type","Year","horizon","Risk_Score","future_shocks","past_shocks","future_window_years","past_window_years"
"Global","Geophysical",2020,4,3.844357977,3.64508539878971,3.67130903475222,5,5
"Global","Geophysical",2020,5,3.844357977,3.64508539878971,3.71501509468975,5,6
"Global","Geophysical",2021,1,3.365313653,4.72025447325286,3.67130903475222,2,2
"Global","Geophysical",2021,2,3.365313653,4.72025447325286,3.97725145431491,3,3
"Global","Geophysical",2021,3,3.365313653,3.90076584942424,3.96632493933053,4,4
"Global","Geophysical",2021,4,3.365313653,3.90076584942424,3.82865085052732,4,5
"Global","Geophysical",2021,5,3.365313653,3.90076584942424,3.84613327450233,4,6
"Global","Climate",2006,1,2,7.41376392000074,7.51301109429794,2,2
"Global","Climate",2006,2,2,7.05978233167406,7.00023402709574,3,3
"Global","Climate",2006,3,2,6.87782917879586,6.82820559164727,4,4
"Global","Climate",2006,4,2,6.94333231383202,6.9473022008039,5,5
"Global","Climate",2006,5,2,6.76865728706895,6.92414452680122,6,6
"Global","Climate",2007,1,2.585169413,6.98700107052278,7.41376392000074,2,2
"Global","Climate",2007,2,2.585169413,6.76865728706895,7.54940172487357,3,3
"Global","Climate",2007,3,2.585169413,6.87782917879586,7.15572126682802,4,4
"Global","Climate",2007,4,2.585169413,6.68131977368741,6.98700107052278,5,5
"Global","Climate",2007,5,2.585169413,6.61978652562315,7.05978233167406,6,6
"Global","Climate",2008,1,3.45890411,6.34189443759099,6.98700107052278,2,2
"Global","Climate",2008,2,3.45890411,6.62971124305287,7.05978233167406,3,3
"Global","Climate",2008,3,3.45890411,6.44610397060305,7.25000608241036,4,4
"Global","Climate",2008,4,3.45890411,6.41930723354281,6.99494084446656,5,5
"Global","Climate",2008,5,3.45890411,6.33196972016127,6.8811374179391,6,6
"Global","Climate",2009,1,2.836032389,6.76865728706895,6.34189443759099,2,2
"Global","Climate",2009,2,2.836032389,6.47753224246383,6.76865728706895,3,3
"Global","Climate",2009,3,2.836032389,6.43617925317333,6.87782917879586,4,4
"Global","Climate",2009,4,2.836032389,6.32799983318938,7.06639880996054,5,5
"Global","Climate",2009,5,2.836032389,6.22941430672083,6.88444565708234,6,6
"Global","Climate",2010,1,3.492814215,6.55031350361511,6.76865728706895,2,2
"Global","Climate",2010,2,3.492814215,6.47091576417735,6.62971124305287,3,3
"Global","Climate",2010,3,3.492814215,6.32700736144641,6.87782917879586,4,4
"Global","Climate",2010,4,3.492814215,6.20890322403275,6.94333231383202,5,5
"Global","Climate",2010,5,3.492814215,6.35512739416395,7.08955648396322,6,6
"Global","Climate",2011,1,3.593,6.10370121927772,6.55031350361511,2,2
"Global","Climate",2011,2,3.593,6.03422819726968,6.47753224246383,3,3
"Global","Climate",2011,3,3.593,5.95979281654678,6.44610397060305,4,4
"Global","Climate",2011,4,3.593,6.18508390220142,6.68131977368741,5,5
"Global","Climate",2011,5,3.593,6.12685889328039,6.76865728706895,6,6
"Global","Climate",2012,1,3.400133824,6.10370121927772,6.10370121927772,2,2
"Global","Climate",2012,2,3.400133824,5.98129637097784,6.47091576417735,3,3
"Global","Climate",2012,3,3.400133824,6.25753433943837,6.43617925317333,4,4
"Global","Climate",2012,4,3.400133824,6.17317424128575,6.41930723354281,5,5
"Global","Climate",2012,5,3.400133824,6.19964015443167,6.61978652562315,6,6
"Global","Climate",2013,1,3.7,5.81588441381584,6.10370121927772,2,2
"Global","Climate",2013,2,3.7,6.23933902415055,6.03422819726968,3,3
"Global","Climate",2013,3,3.7,6.13843773028173,6.32700736144641,4,4
"Global","Climate",2013,4,3.7,6.17714412825764,6.32799983318938,5,5
"Global","Climate",2013,5,3.7,6.10039298013448,6.33196972016127,6,6
"Global","Climate",2014,1,3.934673367,6.41136745959903,5.81588441381584,2,2
"Global","Climate",2014,2,3.934673367,6.21948958929111,5.98129637097784,3,3
"Global","Climate",2014,3,3.934673367,6.24760962200865,5.95979281654678,4,4
"Global","Climate",2014,4,3.934673367,6.14141514551065,6.20890322403275,5,5
"Global","Climate",2014,5,3.934673367,6.31873676358831,6.22941430672083,6,6
"Global","Climate",2015,1,4.050406504,6.46099104674763,6.41136745959903,2,2
"Global","Climate",2015,2,4.050406504,6.41798393788551,6.23933902415055,3,3
"Global","Climate",2015,3,4.050406504,6.24264726329379,6.25753433943837,4,4
"Global","Climate",2015,4,4.050406504,6.43518678143036,6.18508390220142,5,5
