"Region","Risk_Type","Year","Shock_Value"
"UMC","Economic",2011,1.4750517171719
"UMC","Economic",2012,1.31115708193058
"UMC","Economic",2013,1.96673562289586
"UMC","Economic",2014,1.4750517171719
"UMC","Economic",2015,2.45841952861983
"UMC","Economic",2016,1.80284098765454
"UMC","Economic",2017,1.14726244668925
"UMC","Economic",2018,1.31115708193058
"UMC","Economic",2019,0.327789270482644
"UMC","GeoConflict",2001,0.751895915119845
"UMC","GeoConflict",2002,0.478479218712629
"UMC","GeoConflict",2003,0.410125044610824
"UMC","GeoConflict",2004,0.888604263323453
"UMC","GeoConflict",2005,1.16202095973067
"UMC","GeoConflict",2006,1.29872930793428
"UMC","GeoConflict",2007,1.57214600434149
"UMC","GeoConflict",2008,1.7088543525451
"UMC","GeoConflict",2009,1.02531261152706
"UMC","GeoConflict",2010,1.23037513383247
"UMC","GeoConflict",2011,1.29872930793428
"UMC","GeoConflict",2012,1.23037513383247
"UMC","GeoConflict",2013,1.6405001784433
"UMC","GeoConflict",2014,2.73416696407216
"UMC","GeoConflict",2015,3.07593783458118
"UMC","GeoConflict",2016,1.84556270074871
"UMC","GeoConflict",2017,2.73416696407216
"UMC","GeoConflict",2018,2.73416696407216
"UMC","GeoConflict",2019,2.73416696407216
"UMC","GeoConflict",2020,3.2810003568866
"UMC","GeoConflict",2021,3.07593783458118
"UMC","GeoConflict",2022,3.4177087050902
"UMC","GeoConflict",2023,3.48606287919201
"UMC","Terror",2001,0.399322330245806
"UMC","Terror",2002,0.219907617124446
"UMC","Terror",2003,0.228629165678956
"UMC","Terror",2004,0.314598715716275
"UMC","Terror",2005,0.607393560046273
"UMC","Terror",2006,0.773102982581974
"UMC","Terror",2007,0.938189437363782
"UMC","Terror",2008,1.1313094410708
"UMC","Terror",2009,1.14688363491814
"UMC","Terror",2010,1.17616311935114
"UMC","Terror",2011,1.17927795812061
"UMC","Terror",2012,1.46522015715778
"UMC","Terror",2013,2.62767798592326
"UMC","Terror",2014,3.64249245701596
"UMC","Terror",2015,2.70866379392943
"UMC","Terror",2016,3.14411825390107
"UMC","Terror",2017,2.14425500890182
"UMC","Terror",2018,1.39607073647559
"UMC","Terror",2019,0.805497305784442
"UMC","Terror",2020,0.722019626762698
"UMC","Tech",2001,3.31736719443486
