"Region","Risk_Type","center_year","start_year","end_year","best_horizon","rolling_predictive_capacity","rolling_predictive_capacity_se","rolling_predictive_capacity_p","rolling_past_at_best_horizon","rolling_past_at_best_horizon_se","rolling_past_at_best_horizon_p","rolling_anticipatory_skill","n_future","n_past"
"HIC","Terror",2010,2007,2013,2,0.897436343387219,0.348190106528183,0.0495862443341327,-0.0776621035420622,0.159334131696204,0.646581034947528,0.975098446929282,7,7
"HIC","Terror",2011,2008,2014,3,1.0666504154573,0.42985699310568,0.0557448200709732,0.0765890531702508,0.236834947664205,0.759490629031255,0.990061362287051,7,7
"HIC","Terror",2012,2009,2015,2,1.09536619346795,0.48171536421385,0.072087282317673,0.265683588952615,0.506227710102612,0.622130997269936,0.829682604515337,7,7
"HIC","Terror",2013,2010,2016,1,1.02355488844756,0.780357346465632,0.246633457757485,0.625311266344058,0.904890104687908,0.520307923153656,0.398243622103499,7,7
"HIC","Terror",2014,2011,2017,5,-0.0393352576505798,0.301860711795493,0.901402058363237,0.950696735893611,0.865470660310289,0.322056159906906,-0.990031993544191,7,7
"HIC","Terror",2015,2012,2018,5,-0.147321853377803,0.11480335234787,0.255660400300554,0.990546876465132,0.92287645038221,0.332171794806052,-1.13786872984293,7,7
"HIC","Terror",2016,2013,2019,5,-0.0543188431756012,0.0961588418321674,0.596552809160828,0.241834504217771,0.800356976852434,0.77469641790528,-0.296153347393372,7,7
"HIC","Terror",2017,2014,2020,5,-0.302428532519831,0.142713283575661,0.0876016966063478,0.0644965464073689,0.530623011652331,0.907990298923156,-0.3669250789272,7,7
"HIC","Terror",2018,2015,2021,3,-0.328390368704084,0.190813957532611,0.160362698355191,0.285049710620094,0.163797752390914,0.142298364420362,-0.613440079324179,6,7
"HIC","Terror",2019,2016,2022,4,-0.339381794207423,0.190159462361558,0.172298838878935,0.124700193263519,0.138869024517202,0.41996667747677,-0.464081987470942,5,6
"HIC","Terror",2020,2017,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIC","Terror",2021,2018,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIC","Tech",2006,2003,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIC","Tech",2007,2004,2010,1,0.181351626162789,0.212693985328019,0.45652071577051,0.0194832092332928,0.180323464413536,0.920780230842748,0.161868416929496,5,5
"HIC","Tech",2008,2005,2011,1,0.189327226701103,0.220284268171419,0.438541064139996,0.0284517788134446,0.207037019457271,0.89733578966734,0.160875447887658,6,6
"HIC","Tech",2009,2006,2012,1,0.176315019244887,0.20485702209034,0.428749089346517,0.0027112814490748,0.21846120619133,0.990577834029628,0.173603737795812,7,7
"HIC","Tech",2010,2007,2013,1,0.458714711680707,0.18554712105213,0.0563759135422902,0.117687040803128,0.282456918449815,0.694213704851754,0.34102767087758,7,7
